order_id,customer_id,order_date,amount,category,channel,state
5450,11155,2024-01-02,139.24,Electronics,Paid,UP
2022,10441,2024-01-02,122.34,Fashion,Paid,WB
5451,11155,2024-01-02,298.5,Fashion,Organic,MH
2833,10605,2024-01-06,1146.09,Beauty,Organic,KA
4790,11013,2024-01-11,534.63,Fashion,Organic,WB
1042,10237,2024-01-11,1159.56,Fashion,Organic,TS
4125,10877,2024-01-13,507.13,Grocery,Social,KL
3282,10708,2024-01-13,619.76,Accessories,Social,DL
3725,10802,2024-01-15,1065.34,Fashion,Paid,TS
1090,10249,2024-01-15,2357.46,Grocery,Organic,MH
4291,10912,2024-01-15,357.49,Beauty,Organic,GJ
2239,10481,2024-01-16,1185.75,Grocery,Organic,TS
1091,10249,2024-01-16,985.39,Home,Organic,GJ
966,10221,2024-01-17,692.42,Grocery,Paid,MH
4466,10942,2024-01-18,363.22,Grocery,Organic,WB
5148,11094,2024-01-18,378.11,Home,Organic,WB
3532,10762,2024-01-20,194.23,Accessories,Social,GJ
3510,10759,2024-01-20,286.73,Electronics,Referral,TS
2795,10596,2024-01-21,893.55,Electronics,Social,KA
2077,10450,2024-01-21,1283.09,Fashion,Paid,KA
1902,10418,2024-01-21,1483.34,Beauty,Paid,GJ
4827,11021,2024-01-21,100.0,Beauty,Referral,RJ
1463,10325,2024-01-21,392.28,Beauty,Organic,TS
3891,10836,2024-01-22,1457.28,Electronics,Organic,GJ
2188,10471,2024-01-22,311.27,Grocery,Referral,MH
3140,10674,2024-01-23,843.08,Fashion,Referral,UP
5259,11116,2024-01-23,652.11,Beauty,Organic,TS
1316,10300,2024-01-23,220.0,Accessories,Organic,KL
1712,10375,2024-01-24,371.73,Home,Social,KL
4209,10895,2024-01-26,1299.87,Home,Referral,DL
172,10041,2024-01-26,557.25,Electronics,Referral,GJ
4667,10986,2024-01-27,948.07,Grocery,Organic,RJ
5260,11116,2024-01-27,779.72,Electronics,Paid,RJ
5095,11080,2024-01-27,366.3,Fashion,Social,TN
68,10019,2024-01-28,690.99,Electronics,Referral,GJ
1831,10402,2024-01-28,876.3,Grocery,Paid,TS
3818,10818,2024-01-28,901.11,Home,Paid,MH
1566,10347,2024-01-29,246.16,Home,Organic,KL
4643,10981,2024-01-30,310.52,Fashion,Social,WB
758,10165,2024-01-30,768.56,Grocery,Organic,RJ
1951,10427,2024-01-30,703.26,Fashion,Social,UP
3258,10704,2024-01-30,2003.79,Fashion,Organic,GJ
3951,10847,2024-01-30,618.25,Fashion,Social,TS
5410,11146,2024-01-30,465.33,Home,Organic,MH
833,10185,2024-01-30,917.17,Grocery,Social,WB
4668,10986,2024-01-31,905.44,Accessories,Organic,KA
3380,10730,2024-01-31,265.09,Fashion,Organic,UP
5374,11141,2024-01-31,1443.72,Fashion,Paid,KA
3619,10781,2024-02-01,575.95,Home,Organic,DL
2563,10550,2024-02-01,631.3,Accessories,Paid,KL
866,10194,2024-02-01,764.24,Home,Paid,KL
2939,10627,2024-02-01,178.42,Fashion,Paid,KL
592,10127,2024-02-01,160.77,Fashion,Referral,TN
2245,10482,2024-02-02,978.6,Fashion,Paid,MH
2167,10468,2024-02-02,442.82,Grocery,Referral,DL
4210,10895,2024-02-03,208.6,Fashion,Organic,UP
1249,10288,2024-02-03,474.14,Electronics,Referral,TS
1484,10329,2024-02-03,1459.99,Fashion,Paid,KA
471,10104,2024-02-03,1719.62,Electronics,Social,MH
4334,10922,2024-02-04,856.2,Home,Paid,WB
